tid	artist	song
TRATYJI128F4255D27	Bombay Rockers	Rock Tha Party
TRANIWL128F4262AB0	Bare Jr.	Tobacco Spit
TRABXPR128F92F27FE	Cauterize	Shooting Stars
TRALAZG128F93170BF	Juana Molina	Micael
TRABKBS128F42823EC	A Static Lullaby	God Bless You (Goddamn it)
TRAZYQU128F934AC32	Lizzy Borden	Psychopath
TRAEVLO128F933DE9E	Fiona	No More Lonely Nights
TRARDJY128F14750EA	30 Seconds To Mars	Year Zero
TRARSKA128F9336A04	Britney Spears	3
TRAKDDB128F92D168A	Lee Ritenour	Is It You?
TRAGLSU128F145FFB2	K-OS	Heaven Only Knows
TRBCRDW128F422D8BA	Keep Of Kalessin	As Mist Lay Silent Beneath
TRAAGEC128E079252C	Nine Inch Nails	Metal
TRBBOUN128F425A4E6	Rick Astley	Hopelessly
TRAXUPN128F42855C8	W.A.S.P.	Heaven's Hung In Black (Reprise)
TRAZCSY128F42683F2	Pretty Boy Floyd	Shut Up
TRAPZQI128F428CF18	Amorphis	And I Hear You Call
TRAVVBW128F42819B2	Belle & Sebastian	Stay Loose
TRBHZUN12903CA60F7	Charlotte Gainsbourg	IRM
TRAASQC128F93480F0	Rise Against	Amber Changing
TRAEVRU128F4263351	Teena Marie	Light
TRAPIIR128F42AEE95	RUN-DMC	Miss Elaine
TRADHLI128F428FEFD	Suicidal Tendencies	Human Guinea Pig
TRANRWM128F42873F9	Eyes Set to Kill	Liar in the Glass
TRBETHV128F429722F	Andy & Lucas	Hasta Los Huesos
TRBDDKF128F426BF7B	Fleet Foxes	English House
TRBAIKM12903CBCF21	Colin James	Better Days
TRAUZVU12903CC050D	The Shangri-Las	Remember (Walkin' In the Sand)
TRANYAM12903CD9CFC	Dax Riggs	Night is the Notion
TRAEWLF128F42B1F89	Information Society	More to This
TRBBMPH128F1469775	Mike And The Mechanics	Seeing Is Believing
TRABHVL128F92EFB0E	Bullet For My Valentine	Suffocating Under Words Of Sorrow (What Can I Do)
TRAIZWI128F4247EFD	Ashton Shepherd	Old Memory
TRAHVUK128F1456988	The Roots	The Ultimate
TRABGMB12903CF50FE	Die Fantastischen Vier	Böse
TRBFXVN128E078CF62	Cactus	Bro. Bill  (LP Version)
TRAAQBF12903CF796B	Hem	Have Yourself A Merry Little Christmas
TRAFWEV128F428D391	Cake	Alpha Beta Parking Lot
TRAVYXL128EF34722F	Novembre	Reason
TRAZRAR128F1477778	The Four Pennies	Juliet
TRAGBHV128F4295074	Goldfinger	I'm Down
TRAUJPQ128F930D4C5	Showbread	Nothing Matters Anymore
TRAAMPA128F92E7D0D	Descendents	Orgofart
TRAEXEA128F933C67D	Pursuit Of Happiness	Hard To Laugh
TRALDDK128F9300AC5	Thrice	The Earth Will Shake
TRATGQO128F421B850	Elvenking	Pathfinders
TRAAXMX128F9307699	Till West & DJ Delicious	Same Man
TRAYMKM128F4277046	Simon & Garfunkel	Patterns
TRBARSX12903D03AE5	Sade	Morning Bird
TRAKMLM128F14932B0	L.A. Guns	Some Lie For Love
TRAGKUI128F92F4698	Mithotyn	Guided By History
TRASIKP128F423EED7	Basement Jaxx	La Photo
TRBBQFV128F4252EFF	Jack Johnson	Adrift
TRALEPN128F9311179	Arctic Monkeys	Dancing Shoes
TRACOHQ128F424C5EF	Chimaira	The Flame
TRAXJHG128F427EA02	3 Doors Down	Be Like That
TRAORSC128F4235056	MxPx	Time Will Tell
TRAMPCW128F92CC022	Simon & Garfunkel	A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission)
TRAKBON128F9311039	The Rolling Stones	Around And Around
TRABNET128F14560AC	J.J. Cale	Trouble In The City
TRBHBGB128F931E4CF	Hall & Oates	Fall in Philadelphia
TRARPCK128F92FEA7F	Grizzly Bear	Little Brother
TRAJFRJ128F9328FF1	B.B. King	Early In The Morning
TRABLGI128F42B867A	Eighteen Visions	Our Darkest Days
TRAFJVH128F42BC25E	DJ Quik	Pitch In OnA Party
TRAHKMS128F934B09E	Lizzy Borden	There Will Be Blood Tonight
TRBHNEU128F426E873	Mary Black	Flesh And Blood
TRAONYI128F9324BA3	Patricia Kaas	Elle Voulait Jouer Cabaret
TRATGTP128F427021D	Neil Diamond	Hey Louise
TRAWYNV128F92F5E7E	Guns N' Roses	Catcher In The Rye
TRACKWV128F934B6B0	Goatwhore	Forever Consumed Oblivion
TRAHZIL12903CF1DC2	Blind Willie Johnson	If I Had My Way I'd Tear This Building Down
TRABOXX128F92F29EB	Owl City	Panda Bear
TRAXUBG128F9332164	The Sonics	Love Lights
TRBBJAJ128F425DA40	Jane's Addiction	True Nature
TRAVMXD12903CBBD0B	Jimi Hendrix	Once I Had A Woman
TRASDGG128F933EDE2	Anti-Flag	On Independence Day
TRBCJSZ128E07969B5	Coldplay	The World Turned Upside Down
TRAYLRT128F42605AF	The Verve Pipe	La La
TRBFOEA128F425D2DB	John Fogerty	Soda Pop
TRARIZK128F92FF27A	John Cale	Antarctica Starts Here
TRBCGXN128F148C0CD	Paul Stanley	Move On
TRATBGP128F1482545	Happy Mondays	Olive Oil
TRACLRS12903CE9386	Tammy Wynette	Stand By Your Man
TRAGDLM128F4233397	Mago de Oz	Desde mi cielo
TRALNJR128F145AC96	Beastie Boys	Shadrach
TRAAIHL128F92E6DDA	Boyz II Men	On Bended Knee
TRAMBFD128EF34B848	MIMS	Cop It
TRAVKJJ128F424DA32	Rickie Lee Jones	Second Time Around
TRASLVK128F935046C	Gustavo Cerati	La Excepcion
TRAACER128F4290F96	The Dillinger Escape Plan	Setting Fire to Sleeping Giants
TRABPUI12903CF22CE	Turisas	Sahti Waari
TRAZYQF12903CE3DA5	Valient Thorr	Problem Solver
TRATHFM128F148ADD4	Eastmountainsouth	Hard Times
TRAILKS128F14A3AC9	K-OS	AquaCityBoy
TRANCFS12903C9B61B	Belle and Sebastian	Like Dylan In The Movies
TRAYUWU128F423F66D	Charley Patton	Mississippi Boweavil Blues
TRAKUJS128F14668E5	Butthole Surfers	Ulcer Breakout
TRALMTD128E07862AC	Redman	Jam 4 U
TRACNXS128F93395BA	Ten Years After	Victim Of Circumstance
TRAWWHT128F426894E	Hem	When I Was Drinking
TRAMTYX128F42985D0	The Misfits	Halloween II
TRBFBOG128F9356C6E	EPMD	Head Banger
TRBAHBP128F42985D6	The Misfits	We Bite
TRADAFY128F145B77B	Marlene Dietrich	Auf Der Mundharmonika
TRALEER128F4268E6D	Erick Sermon	Freak Out
TRAATNJ128F42631BA	Korn	Ever Be
TRALUTY128F9322DC0	2 Minutos	Como Caramelo De Limón
TRASAIH128F931F567	Thrice	Betrayal Is A Symptom
TRBEATE128E078F0D8	Bon Jovi	Only Lonely
TRBECKU128F428B08A	Erick Sermon	I'm Hot
TRAEASY128F148247C	Charlotte Gainsbourg	Tel Que Tu Es
TRAKZHN128F426C3D2	Aerosmith	On The Road Again
TRAETAG128F93385AE	Jean-Jacques Goldman	Là-Bas
TRAUYLT128F427538E	Dope Stars Inc.	Chase The Light
TRBCSDW128F424D686	The Maine	You Left Me
TRBHQUM128F9309DE1	Broadcast	Michael A Grammar
TRBHSMF128F4285B9C	Jeff Scott Soto	If This Is The End
TRBBHFE12903CA5EEB	Paris_ Texas	Hip Replacement
TRACYCJ128F9309246	Britney Spears	Don't Go Knockin' On My Door
TRAHLDM128F933A3B1	Sui Generis	Bubulina
TRAYZZB128F425B73A	Christina Aguilera	Genio Atrapado
TRAEPGQ128F932AE6D	Loretta Lynn	I Can't Feel You Anymore
TRAQEKD128F425293D	Auf Der Maur	Taste You
TRATAIB128F92E81CB	Dishwalla	Moisture
TRABUDK128F14943F3	Donny Hathaway	This Christmas (LP Version)
TRAHKRO128F9320EA7	The Tragically Hip	The Drop-Off
TRBHMZS128F42658FF	Three 6 Mafia	Money Didn't Change Me
TRAKWZL128F93346EE	The Gufs	Last Goodbye
TRAHCBD128F9336A3E	Toots & The Maytals	Sweet & Dandy
TRAJNWY128E078907F	Cut Copy	Future
TRAOMMU128F933878B	Guitar Slim	The Things That I Used To Do
TRAZWGV128F425DA7C	Tracy Byrd	Just Let Me Be In Love
TRBCGKB12903CC0031	Robert Palmer	Some Guys Have All The Luck
TRAHFOU128F42B3F2A	Rakim	Outro
TRAKXYJ128F42525ED	Agnostic Front	Undertow
TRARKEH128F1463CB2	The Sensational Alex Harvey Band	Delilah
TRATCLI128F422BCF8	RyanDan	Wind Beneath My Wings
TRBFYKT128F428AFF7	Phil Vassar	Like I Never Loved Before
TRBBXEG128F424EC2C	April Wine	Babes In Arms
TRALJBT128F4266FD8	Jennifer Lopez	Play
TRABUVN128F930633C	De La Ghetto	Es dificil
TRAMVOM128F42ACB16	Faithless	Take The Long Way Home
TRAMCGL128F92F3D87	The Mars Volta	Eriatarka
TRALROP128F92CA9CC	Foo Fighters	Next Year
TRAAZQW128F93430DC	Shawn Colvin	Another Long One
TRAGCTZ128F4290974	Restless Heart	That Rock Won't Roll
TRAZOSB128F9302A07	Maroon 5	This Love
TRANREH128F93462CF	Kurupt	Girls All Pause
TRBGBIK128F4294A67	Samy Deluxe	Denk
TRAZVFJ128F9310CE2	Radiohead	Vegetable (Live)
TRAEBXS128F429933A	Britney Spears feat. Pharrell Williams	Boys
TRAJSRH128F425DDC7	Beyoncé	Irreplaceable (Irreemplazable)
TRAYJHF128F4294CB8	K'Naan	Smile
TRBCYOI128F1455566	Beastie Boys	Crawlspace
TRADJHU128F425459F	Novembre	Triesteitaliana
TRANTFR128F931C7DA	The Almost	Books & Books
TRANEQB128F4284978	Mary Black	Katie
TRAVPHL128F424EAE1	3 Doors Down	Who Are You
TRAQLOD128F145EC9D	Enrique Iglesias	Dicen Por Ahi
TRASWKJ128E0792FE7	Patty Griffin	Flaming Red
TRAJDGB128F42882AC	OutKast	Call Of Da Wild
TRARANL128F1478789	Rise Against	Drones
TRANRIK128F148C860	Eminem	Paul
TRASRBB128F42AFD5C	Brian Littrell	Wish
TRACBWP128C7196948	3 Doors Down	It's Not Me
TRADJKG12903CE049F	Tesla	So What!
TRADSVJ12903C9CDFA	Sweet	Do It All Over Again
TRAKXPE128F1462FF2	John Berry	She's Taken A Shine
TRACJPW128F932CA4C	Autumnblaze	Her Golden Robe In Silence Veiled
TRAKTWZ128EF35E206	Janet Jackson	When I Think Of You
TRAVTUD128F93094F2	Broadcast	Where Youth And Laughter Go
TRBIAVU128EF3493BA	Asleep At The Wheel	The Letter That Johnny Walker Read
TRAMSAY128F92ED0DD	It Dies Today	Sixth of June
TRBGHND128E079438C	Kiss	Anything For My Baby
TRAOATJ128F147FC9B	Phil Collins	I Cannot Believe It's True
TRAHZMM128E07838FF	Wet Wet Wet	Goodnight Girl
TRAWGXD128F428A36B	Mindy McCready	Guys Do It All The Time
TRABQZK128F92F54F4	Shakira	Pienso En Ti
TRAXXIT128F4263075	Henry Lee Summer	I Wish I Had A Girl
TRABYEY128F933773A	Anti-Flag	This Is NOT a Crass Song
TRATZQS128F1467D4B	Devo	Going Under
TRAONPF128F42480A7	Phil Vassar	This Is My Life
TRAMUYQ128F428CA58	Patti Smith	Lo and Beholden
TRBCVPD12903CECBE8	Solas	Bonnie Mae
TRAPPUJ128F931B3D1	Jawoll	Rendezvous - Ich hab' Dich seit langem nicht gesehen
TRANBMY128F426416A	Danger Danger	Rock America
TRAEOMS128F4262357	NOFX	My Heart Is Yearning
TRANLRX128F4259030	Zeromancer	Mosquito Coil
TRAGAVF128F424829B	Ronnie Milsap	Don't You Know How Much I Love You
TRARBBK128F427ED68	Koffi Olomide	Elle Et Moi
TRBCQLB128F9332CF4	32 Leaves	Way Beyond
TRAUUIF128F93232FE	God Lives Underwater	Don't Know How To Be
TRBBVSO128F9341C12	Martina McBride	Anything's Better Than Feelin' The Blues
TRAGYXL128F92F9FCB	Cowboy Mouth	Disconnected
TRBHFBL128F14537D2	Gorillaz	Dirty Harry (Single Edit)
TRAVLNW128F4272F05	Gian Marco	Te Mentiría
TRAECBR128F429F8C0	Britney Spears	Everytime
TRBFXMJ12903CB50F6	brokeNCYDE	Freaxxx
TRBIHAU128F425C317	Dinosaur Jr.	Does It Float
TRAKOAK128F4248629	Chops	Give It To 'Em
TRADQBK128F92E8B5F	Mat Kearney	Never Be Ready
TRAVXII128F92FCC6D	Stephen Marley	Mind Control
TRBDLLL128F9331D6E	Akon	Gun Shot
TRBDBVM128F427BCC9	W.A.S.P.	Phantoms In The Mirror
TRAMOLS128F92F99E3	Dealership	I Don't Want Your Love
TRAVJDB128F93305EB	Gustavo Cerati	Tu Cicatriz En Mi
TRAINYU128F4246BD1	Heavenly	Liberty
TRAWEIX128F14B0F05	Pete Rock & C.L. Smooth	They Reminisce Over You (Single Version)
TRAXQDR128F4260194	Juana Molina	Quiero
TRBCBMG12903CDE2A4	Peggy Lee	Mr. Wonderful
TRACVFF12903CF055A	Dinosaur Jr	On The Brink
TRALENK128F92F39E9	Circle Jerks	Paid Vacation
TRAPVGB128F42725AF	The Ataris	I Won't Spend Another Night Alone
TRAASFP128F42980BD	Orbital	Illuminate
TRAWGKB128F4268327	Disembowelment	Your Prophetic Throne Of Ivory
TRAQEOG128F9353981	Martin Sexton	Caught In The Rain
TRAJCLY128F930F893	Bad Azz	Ghetto
TRAPAZE128F4233355	Anti-Flag	Death Of A Nation
TRAQDSN128F42934A2	Sugarbomb	Posterchild for Tragedy
TRAXCZO12903CB819D	The Del McCoury Band	She Can't Burn Me Now
TRBAUVN128F932FEF8	Britney Spears	Oops!...I Did It Again
TRBEAWP128F422B4D1	Casiotone For The Painfully Alone	Happy Mother's Day
TRAGFOI128F428E060	Máire Brennan	Atlantic Shore
TRAJSNU128F92F2AC0	Chuck Wicks	If We Loved
TRAKGAX128F4264182	Jose Luis Perales	El Amor
TRBFMAS128E078F352	The Cardigans	Marvel Hill
TRAMRFE128F4267DF3	Mando Diao	Annie's Angle
TRAPRQZ128F427E188	John Mayer	Comfortable
TRARFAZ128F93481AD	Korpiklaani	Isku Pitkästä Ilosta
TRAHIPA128F4279744	K's Choice	Another Year
TRAEPGH128F9343CD8	Los Fabulosos Cadillacs	El Mensaje Soy Yo
TRAQPHD128F4226E5E	Soulwax	Soul Simplicity
TRAQQHJ128F9345DC3	Rise Against	1000 Good Intentions
TRADXMA128F4276D94	Dead Prez	Be Healthy
TRAYWLI128F9300223	Annie Lennox	Erased
TRACBWQ128F92F2B91	Ma Rainey	Ma Rainey's Black Bottom
TRAWDLK128EF342E1E	Redman	Suicide
TRBAYER128F933D3B7	Mighty Mighty Bosstones	Guns And The Young
TRBEBEZ128E0792F08	Patty Griffin	Let Him Fly
TRBBMIF12903CA1EB0	Atomic Rooster	Little Bit of Inner Air
TRBGNNC128F148D427	EPMD	For My People
TRATKAA128F426E8A0	Mary Black	Say A Little Prayer
TRBDEXM128F4291A7F	Baroness	Wanderlust
TRBEISL128F931B107	Architecture In Helsinki	The Same Old Innocence
TRBBEYU128F4235623	Busdriver	Unemployed Black Astronaut
TRAVANT128F92E3F71	Mariah Carey	Someday
TRBFRFR128E0781C86	Less Than Jake	Automatic
TRBFWSP128F92F29B4	Warrant	Bed Of Roses
TRAPFIP128F42AC31E	Alicia Keys	If I Was Your Woman
TRBGGYE128F42B63AB	Arc Angels	See What Tomorrow Brings
TRADWAU128F145622F	The Moody Blues	Long Summer Days
TRBFBUO128F42A3DED	Kent	Alla Mot Alla
TRBGKGR128F92EE206	Zeca Baleiro	Telegrama
TRBIBAQ128F93279F5	Bad Company	Crazy Circles
TRAMCND128F1466ACF	Beastie Boys	Get It Together
TRAFEEO12903CFEC87	Dark Fortress	The Silver Gate
TRAFYGA128F425A92C	Eurythmics	Missionary Man
TRAZNDI128F9321777	KRS-One	Freestyle Ministry (server Verbals)
TRATRMZ128F42A9AAC	Kane	Rain Down On Me
TRAQQVR128F4255A3A	Gorillaz	White Light
TRACXGH128F931686C	Tommy James & The Shondells	Crimson And Clover
TRAROQC128F4273979	Shakira	Que Vuelvas
TRAKPJC128F4258613	Juliette & The Licks	Shelter Your Needs
TRAAABD128F429CF47	The Box Tops	Soul Deep
TRAJMZL12903CA4807	Luke Bryan	What Country Is
TRAUHXR12903CBDFE4	The Pineapple Thief	Run A Mile
TRAOWBP128F4257C64	Jack Johnson	Monsoon
TRBGJIZ128F92E42BC	Free	Heartbreaker
TRBBXMC128F422C330	Eric Burdon	Cum
TRATJSR128F4266791	Jennifer Lopez featuring Ja Rule	I'm Real
TRAPDQG128F93018C0	Becoming The Archetype	End Of The Age
TRAZWDT128F4241B14	Shelby Lynne	Pretend
TRAZEYQ12903C9D099	Johnny Winter	Shed So Many Tears
TRAUJLJ128E0784E7C	Fabolous	Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge)
TRAMTFQ128F9352EDB	Black Messiah	Gullveig
TRADUOU12903CF4323	At All Cost	Drugs
TRAPCIQ128F4241A74	The Cardigans	Rise & Shine
TRAADYB128F92D7E73	Eliane Elias	The More I See You
TRAFBML128F93163FB	Vaselines	Teenage Superstars (Album)
TRANDEK128F4259EBC	The Clash	Lose This Skin
TRBHHWQ128F93321AB	Bongzilla	Stone a Pig
TRBEIVC128F9320E95	Snow Patrol	It Doesn't Matter Where_ Just Drive
TRAIACZ128F428C60A	Kanye West / Adam Levine	Heard 'Em Say
TRAKQFZ128F429D3C9	Santana	Let It Shine
TRASXHB128F933D3BD	Mighty Mighty Bosstones	They Came To Boston
TRAWXYD128F4255FBD	K.I.Z.	Walpurgisnacht
TRBDVZL128F92F579F	Dickies	Pretty Please Me
TRAZSVT128F92DEC7B	Julie Zenatti	A Quoi Ca Sert
TRALSAJ128F92EDC84	Patrick Bruel	L'Appart
TRAFCWJ128F42515AE	Mississippi John Hurt	Waiting For You (I Forgive You Before I Go)
TRAAOJI128F1458DCD	Heaven 17	(We Don't Need This) Fascist Groove Thang
TRBEFQB128F932138A	Eleanor McEvoy	Please Heart_ You're Killing Me
TRAKCAE128F92DACD8	Claude François	Le chanteur malheureux
TRACRON12903CB59E6	Everyday Sunday	Don't Leave
TRAOSFC128F42618F6	Harry Connick_ Jr.	Here Comes The Big Parade
TRAFZHK128F145E86B	Lifer	Boring
TRAFTFF128F930F77C	Lollipop Lust Kill	Bury You
TRAGBOR128F92E1064	Emperor	With Strength I Burn
TRAGSGF128E0780CA7	Coldplay	One I Love
TRADXCF128EF357134	Snow Patrol	Shut Your Eyes
TRAUXEL128F42683D5	Cadacross	Bring Out Your Dead
TRAZSVJ128E0785129	P.O.D.	Wildfire (Album Version)
TRBBHUW128F429476F	Dynamite Deluxe	Zornig!
TRAOOHM128F1453E33	Juelz Santana	Lil' Boy Fresh
TRAROPS128F92F09A5	Carl Belew	Am I That Easy To Forget
TRABAFJ128F42AF24E	Backstreet Boys	Larger Than Life
TRBETVK128F4288B49	Hot Tuna	Hesitation Blues
TRAJFFF128F429874A	Lifehouse	Better Luck Next Time
TRAIOWX128F14750E5	30 Seconds To Mars	The Mission
TRAHBOV128F92EF77A	Wonderland	You
TRABLYQ128F429A9F8	Luar Na Lubre	Terra
TRBCUPT128F1462B73	Thrice	All That's Left
TRASHSN12903CA9E34	Alicia Keys	Wait Til You See My Smile
TRAPAES128E0786E60	Ideal	Roter Rolls Royce
TRAZJGD128F4289D2A	Gym Class Heroes	To Bob Ross With Love (Album Version)
TRAQJMP128F92E3821	Muse	Can't Take My Eyes Off You
TRAWZRG128F1489B24	Pennywise	Yell Out
TRBGHVM128F146B47A	Charly Garcia	Tango
TRBBIBE128F4226E29	Soulwax	Kill Your Darlings
TRAMEEC128F9307A54	99 Posse	Rafaniello
TRAJBGL128F145C7A8	Tom Cochrane	Washed Away
TRANCSE128F93044F1	Shakira	Ojos Así
TRBGPZX128F4285105	Estopa	Apagon
TRADNRG128F4295A0E	Kris Kristofferson	Darby's Castle
TRACTLX128F42A51F6	Matisyahu	Exaltation
TRABXVE128F4284AFC	Simon & Garfunkel	Citizen Of The Planet
TRALDUE128F9312AF2	Snow Patrol	Just Say Yes
TRBEMTF128F42660CA	For Squirrels	Superstar
TRBHTOR128F428CADE	The Dillinger Escape Plan	Sugar Coated Sour
TRBHHUC128F4294C6F	Scott Matthews	City Headache
TRBADGN128F42AA534	Andy & Lucas	Quiero Ser Tu Sueño
TRAMUUZ128F933CA08	EPMD	Please Listen To My Demo
TRAWNOH128F4287513	Unkle Bob	What Do I Know
TRADFQK128F422B492	Casiotone For The Painfully Alone	Rice Dream Girl
TRANRKN128F93127BB	Hanoi Rocks	Walkin' Away
TRAVWZA128F931F36E	The Tragically Hip	Ahead By A Century
TRAAJJG128F4284B27	The Verve Pipe	Medicate Myself
TRBGBGO128F4264203	Firehouse	Talk Of The Town
TRAGJQL128E078E840	Shania Twain	Raining On Our Love
TRAGDPS128F145F8EE	Paloalto	Seed
TRBBYDT128F14805B4	Phil Collins	You Can't Hurry Love (Live)
TRACISV12903D13877	Jerry Reed	When You're Hot_ You're Hot
TRBHKXX128F4252D02	Radiohead	Everything In Its Right Place
TRARQSD128F427E2AA	Pearl Jam	Wishlist
TRANPWV128F9341281	Behemoth	He Who Breeds Pestilence
TRBGCAK128F425F3CC	The Prodigy	Firestarter
TRADFID128F4267231	Silverchair	Cicada
TRAPGKY128F42972A9	Alexisonfire	Mailbox Arson
TRACUCQ128F92FFBF7	Sade	Smooth Operator
TRAWTKK128F92C25D0	Kings Of Leon	Woo Hoo
TRAMFHI12903CB4349	Goatwhore	A Closure in Infinity
TRAKMGY128F4269E37	Johnny Horton	Got The Bull By The Horns
TRASWIV128E0788A84	The Smashing Pumpkins	Real Love
TRAPCHT128F4239830	Trivium	The Deceived
TRAYZXR128F934858F	Rancid	The Bravest Kids (Acoustic)
TRAAQCK128F92E8C33	Lily Allen	U Killed It
TRAKRXM128F4250E33	Bob Marley	Corner Stone
TRBANBC128F147E363	Showbread	Dinosaur Bones
TRAEARU128E0781A02	David Bowie	Space Oddity (1997 Digital Remaster)
TRBGRIP128F147FCA6	Phil Collins	Everyday
TRAZKAG12903CD1918	AFI	Too Shy To Scream
TRBHKKK128F427E9FF	3 Doors Down	Better Life
TRANWBG128F934AC15	Lizzy Borden	Generation Aliens
TRAHSAW128F4253EFC	Nick Cave & The Bad Seeds	Rock Of Gibraltar
TRAAMES128F42AF068	Pearl Jam	Inside Job
TRANKIL128F1476FA2	The Police	Voices Inside My Head
TRAOJEW128F4294CBD	K'Naan	Is It A Myth?
TRBDWLE128F42B3112	Barry Manilow	This One's For You
TRAWOBG128F93256C6	Dropkick Murphys	The Burden (Album Version)
TRAVGZS128F9338603	Tammy Wynette	I Stayed Long Enough
TRAYDZH128C71967BC	New Found Glory	Sucker
TRAUZFY128F42BCE57	Jason Michael Carroll	No Good In Goodbye
TRBIFGK128F92F23A2	The Killers	A Dustland Fairytale
TRAULGT12903D10B94	BB King	She Don't Move Me No More
TRAZDPO128E078ECE6	Aerosmith	Crazy
TRAEZFJ128F422A5C0	Shanadoo	King Kong
TRAEGGV128F92F29B2	Warrant	Cherry Pie
TRBGHJG128F428ADB4	Lit	Lovely Day
TRAFRVU128F42649A6	K's Choice	My Record Company
TRAMIUD128E07825DB	Cracker	Dr. Bernice
TRACLHC128F9343C39	SUMO	Pinini Reggae
TRAIUPS128F92F2825	Ensiferum	Into Battle
TRBDSLA128F4288246	Toni Braxton	Best Friend
TRACWBO128F92F322F	Stevie Ray Vaughan And Double Trouble	Empty Arms
TRAJHDR128F92FA863	Morgion	Basking Under a Blacksun Dawning
TRARPTJ12903CE2898	SOJA	Be Aware
TRBGITL12903CF2662	The Gathering	Fear The Sea
TRAMEBP12903CD7EEA	Mink DeVille	Heaven Stood Still
TRBDLRT128F4296B2F	Alias	Dying To Stay
TRAKFSV128F4257C10	Finntroll	Kitteldags
TRAJFDU128F426A5F4	Silverchair	The Door
TRABSAR128F42324A8	Abysmal Dawn	Compulsory Resurrection
TRAECSU128F426A84A	Headhunter	Signs Of Insanity
TRAVOLQ128F9322DB4	2 Minutos	Valentin Alsina
TRBHJAY128F14A9061	Foghat	Dead End Street
TRAZXBO128F429DA70	Blackbyrds	Do It_ Fluid
TRAFTMA128F933A3D7	Los Fabulosos Cadillacs	Matador
TRADOSF128F9338ADB	Pedro Aznar	Stand
TRBCALG128F1483839	Milk Inc.	Breakin'
TRBBCJH128F930C970	Streetwize	U Don't Have To Call
TRAMSSK128F92FDC80	Tim Exile	Family Galaxy
TRAPVBP128F9308A86	Alejandro Lerner	No Hace Falta Que Lo Digas
TRARMUI128F147162F	The Jam	The Modern World
TRAJLEC128F93385A1	Jean-Jacques Goldman	La Vie Par Procuration
TRBEHGH128E078DEDE	The Roots	Act Won (Things Fall Apart)
TRASMER128F4272C1D	2 Minutos	2 Minutos
TRBEUMG128F422305C	James Hunter	Class Act
TRALZXZ128F92E26EF	The Jeff Healey Band	My Little Girl
TRAYXZX128F930F022	KALIMBA	Nunca Sabras
TRARSZV12903CDB2DE	Junior Kimbrough	Meet Me in the City
TRAQKVC128F425E65C	The Clash	Inoculated City
TRAFMIA128F92E2B2B	Alice Cooper	This House Is Haunted
TRAYWHE128F92E9D6A	Roy Drusky	Three Hearts In A Tangle
TRBDAVU128F423814A	Bon Jovi	Till We Ain't Strangers Anymore
TRAHMIV128F14693DC	Mike And The Mechanics	Nobody's Perfect
TRAXLLN128F428B982	Wayne Kramer	Bad Seed
TRAWOHD128F148D176	Rickie Lee Jones	Away From The Sky
TRBFLIP128E07897B4	Coldplay	Things I Don't Understand
TRAGXUZ128F9311745	Johnny Cash	You Tell Me
TRAYCIH128E07890B9	The Cure	Doubt
